region_name,mean_light,sum_light,年,GDP
徳島県,0.9274413672343188,4642.771484375,2021,6005327.0
愛媛県,1.0122918062848854,6891.6826171875,2021,11061109.0
愛知県,7.728508849731946,49014.203125,2021,84920329.0
新潟県,1.0912400161315707,17334.34765625,2021,16537380.0
東京都,19.730134385467064,53014.87109375,2021,201351569.0
栃木県,1.6981206965869349,13595.154296875,2021,17732357.0
沖縄県,0.0,0.0,2021,7487117.0
滋賀県,1.929284253708596,9494.0078125,2021,14269251.0
熊本県,1.0910572928462234,9635.126953125,2021,11677088.0
石川県,1.5809336429884453,8277.7685546875,2021,8878282.0
神奈川県,12.304251135598925,36568.234375,2021,63644843.0
福井県,1.214874450036162,6299.1240234375,2021,7394029.0
福岡県,4.3804299159356725,26216.873046875,2021,36050243.0
福島県,0.8894187274501207,15468.7705078125,2021,15358009.0
秋田県,0.7144018735150475,10824.6171875,2021,6376591.0
群馬県,1.5350229927338426,12160.4521484375,2021,18048513.0
茨城県,2.8721340433421227,21785.13671875,2021,29461754.0
長崎県,1.202928781268913,5962.91796875,2021,7971899.0
長野県,0.8512686028483363,14326.8505859375,2021,16141045.0
青森県,1.1063986928745002,14114.328125,2021,7784990.0
静岡県,2.219002837028476,21118.25,2021,35308099.0
香川県,2.186905204300332,4942.40576171875,2021,7677080.0
高知県,0.6630421049162076,5657.73828125,2021,4111176.0
鳥取県,0.8224535211420467,3552.1767578125,2021,3488630.0
鹿児島県,0.688160599795577,7405.984375,2021,10663958.0
